ts_code,name,last_chg
851323.SI,女装,9.88130446784179
857411.SI,航天装备,8.23766719187562
857421.SI,航空装备,7.986463620981388
857431.SI,地面兵装,7.634086398015416
850344.SI,其他纤维,7.115046332074737
851115.SI,家电零部件,6.976590135265837
852121.SI,酒店,6.384690125956949
850935.SI,船舶制造,6.180201953690578
850811.SI,集成电路,6.049169602229676
850141.SI,饲料,5.463904837837985
852111.SI,人工景点,4.666451459196108
852243.SI,营销服务,4.634105283409085
852242.SI,影视动漫,4.598971075110003
852226.SI,IT服务,4.308500837185458
850841.SI,其他电子,4.247428977790757
852221.SI,互联网信息服务,4.170083306594408
851231.SI,白酒,4.1460720981485455
851242.SI,调味发酵品,4.011641946951361
851112.SI,空调,3.989576596405331
850712.SI,机械基础件,3.918800090445429
857242.SI,化学工程,3.735253234486935
851315.SI,辅料,3.734066287722304
850615.SI,耐火材料,3.6864657408126167
850383.SI,磷化工及磷酸盐,3.683812303244016
850813.SI,半导体材料,3.594265329474311
850338.SI,纺织化学用品,3.5499533628517543
851021.SI,计算机设备,3.535299603471209
857333.SI,光伏设备,3.5146611057518484
850361.SI,轮胎,3.4830506475431067
850725.SI,冶金矿采化工设备,3.1753414231956434
850724.SI,重型机械,3.134678817017944
852225.SI,软件开发,3.075026436283723
850553.SI,铅锌,3.002469183903078
851613.SI,燃机发电,2.9498322711650538
851327.SI,其他服装,2.938378646653872
852244.SI,其他文化传媒,2.8623421108970204
857321.SI,电网自动化,2.842123065648172
851325.SI,鞋帽,2.8254883964861532
851312.SI,棉纺,2.789953322960659
850221.SI,煤炭开采,2.768925512745213
852241.SI,平面媒体,2.6860016688843302
857332.SI,风电设备,2.65467398681567
850544.SI,其他稀有小金属,2.599151215798945
850711.SI,机床工具,2.5839226824758255
857343.SI,低压设备,2.5632235585028695
851012.SI,终端设备,2.340993464854413
852033.SI,多业态零售,2.2880720180044944
850345.SI,氨纶,2.2856310962294346
850822.SI,印制电路板,2.2553878436585517
850741.SI,电机,2.183595545190209
857233.SI,水利工程,2.1808830217919795
850335.SI,涂料油漆油墨制造,2.1068849659371613
851233.SI,其他酒类,2.059846903270701
851111.SI,冰箱,1.9394544640344957
851122.SI,其它视听器材,1.9382422802850297
851561.SI,医疗服务,1.9141546569932055
851771.SI,铁路运输,1.8973466018278762
852052.SI,专业市场,1.8916595012897774
851551.SI,医疗器械,1.8803111753889157
851432.SI,家具,1.8069896743447167
850241.SI,油气钻采服务,1.7863545398833836
850341.SI,涤纶,1.7608930316316052
857231.SI,城轨建设,1.730103806228378
850321.SI,纯碱,1.6739972428280625
850731.SI,仪器仪表,1.645421280463033
850552.SI,铜,1.638456028887303
850612.SI,水泥制造,1.5902025071175885
851921.SI,多元金融,1.530748663101611
851114.SI,小家电,1.4689193880003337
857241.SI,钢结构,1.4527256826353252
851761.SI,航运,1.412677995170708
857244.SI,其他专业工程,1.3992325568826791
850171.SI,畜禽养殖,1.3923998090612955
850333.SI,农药,1.3529364622569373
850362.SI,其他橡胶制品,1.2907979569622308
850342.SI,维纶,1.2782417132025214
851244.SI,食品综合,1.2735841719680785
851781.SI,物流,1.2599882725268685
857322.SI,工控自动化,1.248265622759881
850313.SI,石油贸易,1.1874717596623174
851316.SI,其他纺织,1.17415846393496
850523.SI,非金属新材料,1.1287267727994044
850122.SI,水产养殖,1.107086090267262
850337.SI,民爆用品,1.0906446921958413
852031.SI,百货,1.0227784351928282
851511.SI,化学原料药,0.9854121468912735
850154.SI,其他农产品加工,0.9689965355055286
851512.SI,化学制剂,0.9476651116593793
850339.SI,其他化学制品,0.9434369416415622
850231.SI,其他采掘,0.9051259819762958
852224.SI,有线电视网络,0.8805813406081553
850412.SI,特钢,0.8764672423599906
850372.SI,聚氨酯,0.8762226333792977
857341.SI,高压设备,0.8543390918740013
850722.SI,工程机械,0.8474756818882545
850912.SI,商用载货车,0.8114592749668414
850353.SI,改性塑料,0.7965927912295889
851614.SI,热电,0.7962673082440253
852112.SI,自然景点,0.7695946801351328
857342.SI,中压设备,0.7460004037757928
851232.SI,啤酒,0.7394014458161235
850382.SI,氟化工及制冷剂,0.7073767364617733
850211.SI,石油开采,0.6965547853996723
850181.SI,动物保健,0.6664088399656265
850623.SI,房屋建设,0.6515157654659154
858811.SI,其他交运设备,0.6218895173110583
850726.SI,印刷包装机械,0.599177975044074
857235.SI,其他基础建设,0.5745264039102915
850921.SI,汽车零部件,0.5689320388349461
852032.SI,超市,0.55815986981127
850812.SI,分立器件,0.5432415524354806
850311.SI,石油加工,0.49892476795934115
851324.SI,休闲服装,0.49632328931727976
850713.SI,磨具磨料,0.48285821526952155
850521.SI,金属新材料,0.479181049521582
857336.SI,其它电源设备,0.4734920035259993
850336.SI,钾肥,0.47069355611428776
850751.SI,金属制品,0.4471309099941978
851741.SI,航空运输,0.43977028469834867
857331.SI,综合电力设备商,0.38263744850239867
852222.SI,移动互联网服务,0.363565539180688
850152.SI,粮油加工,0.36120352429347413
850411.SI,普钢,0.3574505980185494
850121.SI,海洋捕捞,0.3493133255708214
851631.SI,燃气,0.3475001683262313
857243.SI,国际工程承包,0.34112413266493835
857221.SI,装修装饰,0.34054064424533514
850151.SI,果蔬加工,0.30987350369300337
857234.SI,铁路建设,0.28432964967000096
857344.SI,线缆部件及其他,0.27838931415913315
851235.SI,葡萄酒,0.24186960398524526
850614.SI,其他建材,0.22092014069123866
851941.SI,保险,0.2196986989271732
851113.SI,洗衣机,0.1912152335938888
850936.SI,铁路设备,0.17616087207352749
850351.SI,其他塑料制品,0.17581812460665258
850852.SI,电子零部件制造,0.1561728289933173
851322.SI,男装,0.13239719157471797
851236.SI,黄酒,0.12789463658873235
850322.SI,氯碱,0.12509382036527406
850616.SI,管材,0.0962650275793786
857323.SI,计量仪表,0.07054824031853535
851243.SI,乳品,0.06477584901494193
850721.SI,纺织服装设备,0.06106663047904526
850729.SI,环保设备,0.0489278010404659
850941.SI,汽车服务,0.031272094414536156
851721.SI,公交,0.02138507771787257
850913.SI,商用载客车,0.01053725464548183
857232.SI,路桥施工,-0.0028332946116371716
850727.SI,其它专用机械,-0.04598693215915883
851621.SI,水务,-0.0601195950515776
851313.SI,丝绸,-0.06707796778601116
850823.SI,被动元件,-0.07637304902740061
850131.SI,林业,-0.09202126348479833
850551.SI,铝,-0.10521939527077251
850911.SI,乘用车,-0.12661652507981458
850381.SI,复合肥,-0.13850334399194697
850541.SI,稀土,-0.1385794355056258
851731.SI,高速公路,-0.15037039465058966
852311.SI,综合,-0.1664734689292069
852021.SI,贸易,-0.16897678294791607
851931.SI,证券,-0.17335390946501272
851241.SI,肉制品,-0.1802546794207549
850324.SI,其他化学原料,-0.19508705759945233
851311.SI,毛纺,-0.21216048891045114
850363.SI,炭黑,-0.226506531816284
851434.SI,珠宝首饰,-0.23315458148752688
850113.SI,其他种植业,-0.29615805915047533
851641.SI,环保工程及服务,-0.2978362823320091
850373.SI,玻纤,-0.33696228793086425
850334.SI,日用化学产品,-0.35189163859491446
850543.SI,锂,-0.4337620313730972
850832.SI,LED,-0.47520646781745723
850531.SI,黄金,-0.48426117395828916
850542.SI,钨,-0.48708357311848527
850716.SI,其它通用机械,-0.4874599218691045
851411.SI,造纸,-0.5000718636474111
850331.SI,氮肥,-0.5154040878591282
852141.SI,餐饮,-0.5403502119418757
851013.SI,通信传输设备,-0.5976447215574887
852131.SI,旅游综合,-0.6323640224688343
851911.SI,银行,-0.6509145906457903
851611.SI,火电,-0.6856523596652897
851433.SI,其他家用轻工,-0.704465134846366
850833.SI,光学元件,-0.7071920163896239
857335.SI,储能设备,-0.729861296793699
851821.SI,园区开发,-0.7439240186342122
851326.SI,家纺,-0.7454175409412511
851314.SI,印染,-0.7922539625233815
850611.SI,玻璃制造,-0.8203314298846465
850851.SI,电子系统组装,-0.8253244095204448
850522.SI,磁性材料,-0.8376153311681067
851421.SI,包装印刷,-0.8688709773312153
851541.SI,医药商业,-0.8872648275943473
851435.SI,文娱用品,-0.8940695661766473
850222.SI,焦炭加工,-1.0217536211434841
851615.SI,新能源发电,-1.0296066683461613
850112.SI,粮食种植,-1.1558941590890548
851531.SI,生物制品,-1.1598850379431314
850332.SI,磷肥,-1.1807684780481553
850343.SI,粘胶,-1.2585639017164363
850323.SI,无机盐,-1.2591155040667434
852211.SI,通信运营,-1.26929809034948
851121.SI,彩电,-1.2764352036218174
857251.SI,园林工程,-1.29240683253663
852041.SI,专业连锁,-1.3088663576598547
850728.SI,楼宇设备,-1.3715999123666167
851711.SI,港口,-1.4046477762271747
851014.SI,通信配套服务,-1.4160146006838792
851234.SI,软饮料,-1.5318449180949933
851811.SI,房地产开发,-1.7776324163778945
850831.SI,显示器件,-1.8824833491003279
850714.SI,内燃机,-1.8951461841644979
851751.SI,机场,-1.9434392310735848
850723.SI,农用机械,-1.9845403537015582
850352.SI,合成革,-2.033904111055451
850242.SI,其他采掘服务,-2.6113699394982315
851612.SI,水电,-2.880989838737036
851521.SI,中药,-3.0058670245953767
850715.SI,制冷空调设备,-3.067003850272243
852223.SI,其他互联网服务,-3.5191582914572805
857334.SI,火电设备,-3.6683206322187245
850161.SI,农业综合,-3.7244025092021404
850111.SI,种子生产,-4.238548228867933
852151.SI,其他休闲服务,-4.465787468334459
851441.SI,其他轻工制造,-5.6946277027796866
852051.SI,一般物业经营,-6.572938121250116
